Job Title,code,type,2016 Employment,2026 Employment,2016 %,2026 %,Change (#),Change (%),Openings,Level,ed_needed,Median Wage,Experience,OTJ Training
"Credit authorizers, checkers, and clerks",43-4041,Individual Jobs,38.5,37.4,0.0,0.0,-1.1,-2.8,3.7,3.0,High school diploma or equivalent,36930.0,None,Moderate-term on-the-job training
Customer service representatives,43-4051,Individual Jobs,2784.5,2920.8,1.8,1.7,136.3,4.9,373.5,3.0,High school diploma or equivalent,32300.0,None,Short-term on-the-job training
"Eligibility interviewers, government programs",43-4061,Individual Jobs,143.1,151.6,0.1,0.1,8.5,6.0,13.6,3.0,High school diploma or equivalent,43350.0,None,Moderate-term on-the-job training
File clerks,43-4071,Individual Jobs,135.0,121.0,0.1,0.1,-14.0,-10.4,14.2,3.0,High school diploma or equivalent,29090.0,None,Short-term on-the-job training
"Hotel, motel, and resort desk clerks",43-4081,Individual Jobs,252.6,263.8,0.2,0.2,11.2,4.4,40.9,3.0,High school diploma or equivalent,22070.0,None,Short-term on-the-job training
"Interviewers, except eligibility and loan",43-4111,Individual Jobs,194.7,205.7,0.1,0.1,11.0,5.7,24.3,3.0,High school diploma or equivalent,32150.0,None,Short-term on-the-job training
"Library assistants, clerical",43-4121,Individual Jobs,104.3,114.1,0.1,0.1,9.8,9.4,16.3,3.0,High school diploma or equivalent,25220.0,None,Short-term on-the-job training
Loan interviewers and clerks,43-4131,Individual Jobs,229.8,258.2,0.1,0.2,28.4,12.3,25.7,3.0,High school diploma or equivalent,38630.0,None,Short-term on-the-job training
New accounts clerks,43-4141,Individual Jobs,42.0,39.4,0.0,0.0,-2.6,-6.2,4.0,3.0,High school diploma or equivalent,34990.0,None,Moderate-term on-the-job training
Order clerks,43-4151,Individual Jobs,179.0,175.3,0.1,0.1,-3.7,-2.1,19.4,3.0,High school diploma or equivalent,33370.0,None,Short-term on-the-job training
"Human resources assistants, except payroll and timekeeping",43-4161,Individual Jobs,141.5,138.9,0.1,0.1,-2.6,-1.8,15.1,3.0,Associate's degree,39020.0,None,None
Receptionists and information clerks,43-4171,Individual Jobs,1053.7,1149.2,0.7,0.7,95.5,9.1,151.1,3.0,High school diploma or equivalent,27920.0,None,Short-term on-the-job training
Reservation and transportation ticket agents and travel clerks,43-4181,Individual Jobs,150.1,155.8,0.1,0.1,5.6,3.8,16.3,3.0,High school diploma or equivalent,35230.0,None,Short-term on-the-job training
"Information and record clerks, all other",43-4199,Individual Jobs,178.1,191.7,0.1,0.1,13.6,7.6,21.9,3.0,High school diploma or equivalent,39260.0,None,Short-term on-the-job training
"Material recording, scheduling, dispatching, and distributing workers",43-5000,Job Categories,4117.5,4199.4,2.6,2.5,81.9,2.0,454.5,2.0,—,30430.0,—,—
Cargo and freight agents,43-5011,Individual Jobs,89.8,99.1,0.1,0.1,9.3,10.4,8.6,3.0,High school diploma or equivalent,41920.0,None,Short-term on-the-job training
Couriers and messengers,43-5021,Individual Jobs,95.0,105.9,0.1,0.1,10.9,11.5,10.1,3.0,High school diploma or equivalent,28170.0,None,Short-term on-the-job training
Dispatchers,43-5030,Job Categories,300.3,308.3,0.2,0.2,8.0,2.7,27.9,3.0,—,38260.0,—,—
"Police, fire, and ambulance dispatchers",43-5031,Individual Jobs,98.6,106.7,0.1,0.1,8.2,8.3,10.0,4.0,High school diploma or equivalent,38870.0,None,Moderate-term on-the-job training
"Dispatchers, except police, fire, and ambulance",43-5032,Individual Jobs,201.7,201.6,0.1,0.1,-0.1,-0.1,18.0,4.0,High school diploma or equivalent,37940.0,None,Moderate-term on-the-job training
"Meter readers, utilities",43-5041,Individual Jobs,34.8,33.2,0.0,0.0,-1.5,-4.4,2.3,3.0,High school diploma or equivalent,38940.0,None,Short-term on-the-job training
Postal service workers,43-5050,Job Categories,502.4,437.1,0.3,0.3,-65.3,-13.0,26.1,3.0,—,56790.0,—,—
Postal service clerks,43-5051,Individual Jobs,79.0,69.5,0.1,0.0,-9.5,-12.1,4.8,4.0,High school diploma or equivalent,56790.0,None,Short-term on-the-job training
Postal service mail carriers,43-5052,Individual Jobs,316.7,278.5,0.2,0.2,-38.2,-12.1,16.1,4.0,High school diploma or equivalent,58110.0,None,Short-term on-the-job training
"Postal service mail sorters, processors, and processing machine operators",43-5053,Individual Jobs,106.7,89.1,0.1,0.1,-17.5,-16.5,5.2,4.0,High school diploma or equivalent,56220.0,None,Short-term on-the-job training
"Production, planning, and expediting clerks",43-5061,Individual Jobs,329.4,347.4,0.2,0.2,18.0,5.5,35.5,3.0,High school diploma or equivalent,46760.0,None,Moderate-term on-the-job training
"Shipping, receiving, and traffic clerks",43-5071,Individual Jobs,681.4,681.5,0.4,0.4,0.1,0.0,67.2,3.0,High school diploma or equivalent,31180.0,None,Short-term on-the-job training
Stock clerks and order fillers,43-5081,Individual Jobs,2008.6,2109.6,1.3,1.3,100.9,5.0,269.2,3.0,High school diploma or equivalent,23840.0,None,Short-term on-the-job training
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Individual Jobs,75.9,77.3,0.0,0.0,1.4,1.8,7.6,3.0,High school diploma or equivalent,28790.0,None,Short-term on-the-job training
Secretaries and administrative assistants,43-6000,Job Categories,3990.4,3798.2,2.6,2.3,-192.2,-4.8,394.6,2.0,—,37230.0,—,—
Executive secretaries and executive administrative assistants,43-6011,Individual Jobs,685.3,566.2,0.4,0.3,-119.2,-17.4,54.6,3.0,High school diploma or equivalent,55860.0,Less than 5 years,None
Legal secretaries,43-6012,Individual Jobs,194.7,157.5,0.1,0.1,-37.1,-19.1,15.0,3.0,High school diploma or equivalent,44180.0,None,Moderate-term on-the-job training
Medical secretaries,43-6013,Individual Jobs,574.2,703.2,0.4,0.4,129.0,22.5,80.8,3.0,High school diploma or equivalent,33730.0,None,Moderate-term on-the-job training
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Individual Jobs,2536.2,2371.3,1.6,1.4,-164.9,-6.5,244.3,3.0,High school diploma or equivalent,34820.0,None,Short-term on-the-job training
Other office and administrative support workers,43-9000,Job Categories,4195.7,4123.2,2.7,2.5,-72.5,-1.7,465.6,2.0,—,31590.0,—,—
Computer operators,43-9011,Individual Jobs,51.5,39.7,0.0,0.0,-11.8,-22.8,3.4,3.0,High school diploma or equivalent,42270.0,None,Moderate-term on-the-job training
Data entry and information processing workers,43-9020,Job Categories,278.7,210.7,0.2,0.1,-68.1,-24.4,21.3,3.0,—,31980.0,—,—
Data entry keyers,43-9021,Individual Jobs,203.8,160.6,0.1,0.1,-43.3,-21.2,16.8,4.0,High school diploma or equivalent,30100.0,None,Short-term on-the-job training
Word processors and typists,43-9022,Individual Jobs,74.9,50.1,0.0,0.0,-24.8,-33.1,4.5,4.0,High school diploma or equivalent,38740.0,None,Short-term on-the-job training
Desktop publishers,43-9031,Individual Jobs,14.6,12.5,0.0,0.0,-2.0,-14.0,1.2,3.0,Associate's degree,41090.0,None,Short-term on-the-job training
Insurance claims and policy processing clerks,43-9041,Individual Jobs,308.5,342.6,0.2,0.2,34.1,11.1,35.6,3.0,High school diploma or equivalent,38430.0,None,Moderate-term on-the-job training
"Mail clerks and mail machine operators, except postal service",43-9051,Individual Jobs,95.5,88.4,0.1,0.1,-7.1,-7.4,9.4,3.0,High school diploma or equivalent,29160.0,None,Short-term on-the-job training
"Office clerks, general",43-9061,Individual Jobs,3117.7,3086.0,2.0,1.8,-31.8,-1.0,356.2,3.0,High school diploma or equivalent,30580.0,None,Short-term on-the-job training
"Office machine operators, except computer",43-9071,Individual Jobs,59.9,50.5,0.0,0.0,-9.4,-15.6,5.1,3.0,High school diploma or equivalent,30460.0,None,Short-term on-the-job training
Proofreaders and copy markers,43-9081,Individual Jobs,14.2,14.4,0.0,0.0,0.2,1.7,2.2,3.0,Bachelor's degree,36960.0,None,None
Statistical assistants,43-9111,Individual Jobs,11.8,12.9,0.0,0.0,1.1,9.2,1.6,3.0,Bachelor's degree,46850.0,None,None
"Office and administrative support workers, all other",43-9199,Individual Jobs,243.2,265.4,0.2,0.2,22.1,9.1,29.4,3.0,High school diploma or equivalent,34020.0,None,Short-term on-the-job training
"Farming, fishing, and forestry occupations",45-0000,Job Categories,1060.1,1056.7,0.7,0.6,-3.5,-0.3,154.3,1.0,—,23510.0,—,—
"Supervisors of farming, fishing, and forestry workers",45-1000,Job Categories,48.7,49.7,0.0,0.0,0.9,1.9,6.5,2.0,—,45320.0,—,—
"First-line supervisors of farming, fishing, and forestry workers",45-1011,Individual Jobs,48.7,49.7,0.0,0.0,0.9,1.9,6.5,3.0,High school diploma or equivalent,45320.0,Less than 5 years,None
Agricultural workers,45-2000,Job Categories,914.8,914.7,0.6,0.5,0.0,0.0,136.7,2.0,—,22740.0,—,—
Agricultural inspectors,45-2011,Individual Jobs,15.6,16.3,0.0,0.0,0.7,4.6,2.2,3.0,Bachelor's degree,42800.0,None,Moderate-term on-the-job training
Animal breeders,45-2021,Individual Jobs,9.0,9.2,0.0,0.0,0.2,2.0,1.4,3.0,High school diploma or equivalent,35690.0,None,Short-term on-the-job training
"Graders and sorters, agricultural products",45-2041,Individual Jobs,42.9,42.5,0.0,0.0,-0.4,-0.9,5.7,3.0,No formal educational credential,22520.0,None,Short-term on-the-job training
Miscellaneous agricultural workers,45-2090,Job Categories,847.3,846.7,0.5,0.5,-0.6,-0.1,127.5,3.0,—,22520.0,—,—
Agricultural equipment operators,45-2091,Individual Jobs,63.9,67.4,0.0,0.0,3.5,5.5,10.2,4.0,No formal educational credential,28850.0,None,Moderate-term on-the-job training
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Individual Jobs,503.7,509.2,0.3,0.3,5.5,1.1,76.8,4.0,No formal educational credential,22000.0,None,Short-term on-the-job training
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,Individual Jobs,268.1,258.0,0.2,0.2,-10.1,-3.8,38.6,4.0,No formal educational credential,24520.0,None,Short-term on-the-job training
"Agricultural workers, all other",45-2099,Individual Jobs,11.6,12.1,0.0,0.0,0.5,4.4,1.8,4.0,No formal educational credential,31160.0,None,Short-term on-the-job training
Fishing and hunting workers,45-3000,Individual Jobs,27.0,29.9,0.0,0.0,2.9,10.8,3.1,2.0,No formal educational credential,29280.0,None,Moderate-term on-the-job training
"Forest, conservation, and logging workers",45-4000,Job Categories,69.6,62.4,0.0,0.0,-7.3,-10.4,8.0,2.0,—,36510.0,—,—
Forest and conservation workers,45-4011,Individual Jobs,14.3,14.0,0.0,0.0,-0.3,-2.4,2.1,3.0,High school diploma or equivalent,26940.0,None,Moderate-term on-the-job training
Logging workers,45-4020,Job Categories,55.3,48.4,0.0,0.0,-6.9,-12.5,5.9,3.0,—,37590.0,—,—
Fallers,45-4021,Individual Jobs,7.5,6.3,0.0,0.0,-1.2,-16.2,0.8,4.0,High school diploma or equivalent,37370.0,None,Moderate-term on-the-job training
Logging equipment operators,45-4022,Individual Jobs,39.1,34.2,0.0,0.0,-4.9,-12.6,4.2,4.0,High school diploma or equivalent,37490.0,None,Moderate-term on-the-job training
Log graders and scalers,45-4023,Individual Jobs,4.2,4.1,0.0,0.0,-0.1,-3.0,0.5,4.0,High school diploma or equivalent,37090.0,None,Moderate-term on-the-job training
"Logging workers, all other",45-4029,Individual Jobs,4.5,3.9,0.0,0.0,-0.7,-14.7,0.5,4.0,High school diploma or equivalent,38950.0,None,Moderate-term on-the-job training
Construction and extraction occupations,47-0000,Job Categories,6812.5,7560.0,4.4,4.5,747.6,11.0,798.1,1.0,—,43610.0,—,—
Supervisors of construction and extraction workers,47-1000,Job Categories,602.5,678.3,0.4,0.4,75.8,12.6,68.5,2.0,—,62980.0,—,—
First-line supervisors of construction trades and extraction workers,47-1011,Individual Jobs,602.5,678.3,0.4,0.4,75.8,12.6,68.5,3.0,High school diploma or equivalent,62980.0,5 years or more,None
Construction trades workers,47-2000,Job Categories,5347.0,5908.0,3.4,3.5,561.0,10.5,610.5,2.0,—,42310.0,—,—
Boilermakers,47-2011,Individual Jobs,17.2,18.7,0.0,0.0,1.5,9.0,1.9,3.0,High school diploma or equivalent,62060.0,None,Apprenticeship
"Brickmasons, blockmasons, and stonemasons",47-2020,Job Categories,110.0,121.2,0.1,0.1,11.2,10.2,10.9,3.0,—,47590.0,—,—
Brickmasons and blockmasons,47-2021,Individual Jobs,91.1,100.5,0.1,0.1,9.4,10.3,9.0,4.0,High school diploma or equivalent,49250.0,None,Apprenticeship
Stonemasons,47-2022,Individual Jobs,18.9,20.7,0.0,0.0,1.8,9.5,1.8,4.0,High school diploma or equivalent,39780.0,None,Apprenticeship
Carpenters,47-2031,Individual Jobs,1025.6,1109.4,0.7,0.7,83.8,8.2,104.4,3.0,High school diploma or equivalent,43600.0,None,Apprenticeship
"Carpet, floor, and tile installers and finishers",47-2040,Job Categories,122.3,134.0,0.1,0.1,11.7,9.6,11.9,3.0,—,39150.0,—,—
Carpet installers,47-2041,Individual Jobs,40.4,44.2,0.0,0.0,3.8,9.4,3.9,4.0,No formal educational credential,38280.0,None,Short-term on-the-job training
"Floor layers, except carpet, wood, and hard tiles",47-2042,Individual Jobs,16.3,17.9,0.0,0.0,1.6,9.7,1.6,4.0,No formal educational credential,37840.0,None,Moderate-term on-the-job training
Floor sanders and finishers,47-2043,Individual Jobs,7.3,7.9,0.0,0.0,0.7,9.5,0.7,4.0,No formal educational credential,36860.0,None,Moderate-term on-the-job training
Tile and marble setters,47-2044,Individual Jobs,58.3,64.0,0.0,0.0,5.6,9.7,5.7,4.0,No formal educational credential,40460.0,None,Long-term on-the-job training
"Cement masons, concrete finishers, and terrazzo workers",47-2050,Job Categories,182.5,205.5,0.1,0.1,23.0,12.6,22.8,3.0,—,39210.0,—,—
Cement masons and concrete finishers,47-2051,Individual Jobs,178.9,201.5,0.1,0.1,22.5,12.6,22.4,4.0,No formal educational credential,39180.0,None,Moderate-term on-the-job training
Terrazzo workers and finishers,47-2053,Individual Jobs,3.6,4.0,0.0,0.0,0.4,12.3,0.4,4.0,High school diploma or equivalent,40930.0,None,Apprenticeship
Construction laborers,47-2061,Individual Jobs,1216.7,1367.1,0.8,0.8,150.4,12.4,145.3,3.0,No formal educational credential,33430.0,None,Short-term on-the-job training
Construction equipment operators,47-2070,Job Categories,426.6,479.3,0.3,0.3,52.7,12.3,53.9,3.0,—,45040.0,—,—
"Paving, surfacing, and tamping equipment operators",47-2071,Individual Jobs,51.9,58.2,0.0,0.0,6.3,12.1,6.2,4.0,High school diploma or equivalent,38970.0,None,Moderate-term on-the-job training
Pile-driver operators,47-2072,Individual Jobs,3.7,4.2,0.0,0.0,0.5,14.6,0.5,4.0,High school diploma or equivalent,55070.0,None,Moderate-term on-the-job training
Operating engineers and other construction equipment operators,47-2073,Individual Jobs,371.1,416.9,0.2,0.2,45.8,12.3,47.3,4.0,High school diploma or equivalent,45890.0,None,Moderate-term on-the-job training
"Drywall installers, ceiling tile installers, and tapers",47-2080,Job Categories,143.2,144.4,0.1,0.1,1.2,0.9,12.5,3.0,—,42280.0,—,—
Drywall and ceiling tile installers,47-2081,Individual Jobs,119.5,120.7,0.1,0.1,1.2,1.0,10.5,4.0,No formal educational credential,41090.0,None,Moderate-term on-the-job training
Tapers,47-2082,Individual Jobs,23.7,23.8,0.0,0.0,0.1,0.3,2.1,4.0,No formal educational credential,48990.0,None,Moderate-term on-the-job training
Electricians,47-2111,Individual Jobs,666.9,726.5,0.4,0.4,59.6,8.9,82.0,3.0,High school diploma or equivalent,52720.0,None,Apprenticeship
Glaziers,47-2121,Individual Jobs,50.1,55.3,0.0,0.0,5.3,10.5,6.5,3.0,High school diploma or equivalent,41920.0,None,Apprenticeship
Insulation workers,47-2130,Job Categories,59.5,62.7,0.0,0.0,3.2,5.3,6.6,3.0,—,39280.0,—,—
"Insulation workers, floor, ceiling, and wall",47-2131,Individual Jobs,30.9,31.3,0.0,0.0,0.4,1.3,3.3,4.0,No formal educational credential,35660.0,None,Short-term on-the-job training
"Insulation workers, mechanical",47-2132,Individual Jobs,28.6,31.4,0.0,0.0,2.8,9.7,3.4,4.0,High school diploma or equivalent,45430.0,None,Apprenticeship
Painters and paperhangers,47-2140,Job Categories,387.3,409.4,0.2,0.2,22.2,5.7,35.7,3.0,—,37520.0,—,—
"Painters, construction and maintenance",47-2141,Individual Jobs,381.5,403.4,0.2,0.2,21.9,5.7,35.2,4.0,No formal educational credential,37570.0,None,Moderate-term on-the-job training
Paperhangers,47-2142,Individual Jobs,5.7,6.0,0.0,0.0,0.3,4.6,0.5,4.0,No formal educational credential,33770.0,None,Long-term on-the-job training
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,Job Categories,524.8,607.5,0.3,0.4,82.7,15.8,66.7,3.0,—,50300.0,—,—
Pipelayers,47-2151,Individual Jobs,44.1,51.7,0.0,0.0,7.6,17.2,5.7,4.0,No formal educational credential,38410.0,None,Short-term on-the-job training
"Plumbers, pipefitters, and steamfitters",47-2152,Individual Jobs,480.6,555.8,0.3,0.3,75.2,15.6,61.0,4.0,High school diploma or equivalent,51450.0,None,Apprenticeship
Plasterers and stucco masons,47-2161,Individual Jobs,27.7,28.8,0.0,0.0,1.1,3.9,2.7,3.0,No formal educational credential,38890.0,None,Long-term on-the-job training
Reinforcing iron and rebar workers,47-2171,Individual Jobs,20.1,22.5,0.0,0.0,2.4,12.1,2.4,3.0,High school diploma or equivalent,47600.0,None,Apprenticeship
Roofers,47-2181,Individual Jobs,146.2,162.4,0.1,0.1,16.2,11.1,16.5,3.0,No formal educational credential,37760.0,None,Moderate-term on-the-job training
Sheet metal workers,47-2211,Individual Jobs,138.9,150.9,0.1,0.1,12.0,8.7,16.2,3.0,High school diploma or equivalent,46940.0,None,Apprenticeship
Structural iron and steel workers,47-2221,Individual Jobs,70.2,79.2,0.0,0.0,9.0,12.8,8.7,3.0,High school diploma or equivalent,51800.0,None,Apprenticeship
Solar photovoltaic installers,47-2231,Individual Jobs,11.3,23.1,0.0,0.0,11.8,104.9,3.0,3.0,High school diploma or equivalent,39240.0,None,Moderate-term on-the-job training
"Helpers, construction trades",47-3000,Job Categories,232.7,262.8,0.1,0.2,30.1,12.9,37.4,2.0,—,29180.0,—,—
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Individual Jobs,24.1,27.0,0.0,0.0,2.9,12.1,3.8,3.0,No formal educational credential,30570.0,None,Short-term on-the-job training
Helpers--carpenters,47-3012,Individual Jobs,36.7,41.4,0.0,0.0,4.7,12.8,5.9,3.0,No formal educational credential,28810.0,None,Short-term on-the-job training
Helpers--electricians,47-3013,Individual Jobs,73.2,80.9,0.0,0.0,7.7,10.6,11.5,3.0,High school diploma or equivalent,29530.0,None,Short-term on-the-job training
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Individual Jobs,10.9,11.4,0.0,0.0,0.5,4.1,1.6,3.0,No formal educational credential,27310.0,None,Short-term on-the-job training
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Individual Jobs,55.5,65.8,0.0,0.0,10.3,18.6,9.5,3.0,High school diploma or equivalent,29030.0,None,Short-term on-the-job training
Helpers--roofers,47-3016,Individual Jobs,10.2,11.5,0.0,0.0,1.3,12.4,1.6,3.0,No formal educational credential,27670.0,None,Short-term on-the-job training
"Helpers, construction trades, all other",47-3019,Individual Jobs,22.1,24.8,0.0,0.0,2.7,12.1,3.5,3.0,No formal educational credential,29270.0,None,Short-term on-the-job training
Other construction and related workers,47-4000,Job Categories,435.8,480.4,0.3,0.3,44.6,10.2,53.2,2.0,—,42960.0,—,—
Construction and building inspectors,47-4011,Individual Jobs,105.1,115.7,0.1,0.1,10.5,10.0,12.7,3.0,High school diploma or equivalent,58480.0,5 years or more,Moderate-term on-the-job training
Elevator installers and repairers,47-4021,Individual Jobs,22.1,24.8,0.0,0.0,2.7,12.1,3.0,3.0,High school diploma or equivalent,78890.0,None,Apprenticeship
Fence erectors,47-4031,Individual Jobs,25.1,27.9,0.0,0.0,2.7,10.8,3.2,3.0,No formal educational credential,33150.0,None,Moderate-term on-the-job training
Hazardous materials removal workers,47-4041,Individual Jobs,46.2,54.1,0.0,0.0,7.9,17.2,6.7,3.0,High school diploma or equivalent,40640.0,None,Moderate-term on-the-job training
Highway maintenance workers,47-4051,Individual Jobs,149.9,160.2,0.1,0.1,10.3,6.9,16.5,3.0,High school diploma or equivalent,38130.0,None,Moderate-term on-the-job training
Rail-track laying and maintenance equipment operators,47-4061,Individual Jobs,14.0,15.2,0.0,0.0,1.2,8.6,1.5,3.0,High school diploma or equivalent,53970.0,None,Moderate-term on-the-job training
Septic tank servicers and sewer pipe cleaners,47-4071,Individual Jobs,28.5,33.4,0.0,0.0,4.9,17.2,4.3,3.0,High school diploma or equivalent,36430.0,None,Moderate-term on-the-job training
Miscellaneous construction and related workers,47-4090,Job Categories,44.8,49.2,0.0,0.0,4.3,9.7,5.3,3.0,—,36670.0,—,—
Segmental pavers,47-4091,Individual Jobs,2.1,2.4,0.0,0.0,0.3,12.0,0.3,4.0,High school diploma or equivalent,33530.0,None,Moderate-term on-the-job training
"Construction and related workers, all other",47-4099,Individual Jobs,42.7,46.8,0.0,0.0,4.1,9.6,5.1,4.0,High school diploma or equivalent,36890.0,None,Moderate-term on-the-job training
Extraction workers,47-5000,Job Categories,194.4,230.6,0.1,0.1,36.2,18.6,28.6,2.0,—,44390.0,—,—
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",47-5010,Job Categories,69.2,85.8,0.0,0.1,16.6,24.0,10.8,3.0,—,49720.0,—,—
"Derrick operators, oil and gas",47-5011,Individual Jobs,11.1,13.9,0.0,0.0,2.8,25.7,1.8,4.0,No formal educational credential,48130.0,None,Short-term on-the-job training
"Rotary drill operators, oil and gas",47-5012,Individual Jobs,16.7,20.8,0.0,0.0,4.0,24.2,2.6,4.0,No formal educational credential,54430.0,None,Moderate-term on-the-job training
"Service unit operators, oil, gas, and mining",47-5013,Individual Jobs,41.4,51.1,0.0,0.0,9.7,23.4,6.4,4.0,No formal educational credential,48610.0,None,Moderate-term on-the-job training
"Earth drillers, except oil and gas",47-5021,Individual Jobs,19.6,23.5,0.0,0.0,3.9,19.6,2.6,3.0,High school diploma or equivalent,44360.0,None,Moderate-term on-the-job training
"Explosives workers, ordnance handling experts, and blasters",47-5031,Individual Jobs,6.3,6.8,0.0,0.0,0.5,7.1,0.8,3.0,High school diploma or equivalent,52170.0,Less than 5 years,Long-term on-the-job training
Mining machine operators,47-5040,Job Categories,20.6,19.9,0.0,0.0,-0.7,-3.5,2.3,3.0,—,51480.0,—,—
Continuous mining machine operators,47-5041,Individual Jobs,12.3,11.9,0.0,0.0,-0.5,-3.7,1.4,4.0,No formal educational credential,51840.0,None,Moderate-term on-the-job training
Mine cutting and channeling machine operators,47-5042,Individual Jobs,6.1,5.8,0.0,0.0,-0.3,-4.5,0.7,4.0,High school diploma or equivalent,51900.0,None,Moderate-term on-the-job training
"Mining machine operators, all other",47-5049,Individual Jobs,2.2,2.2,0.0,0.0,0.0,0.2,0.3,4.0,High school diploma or equivalent,48010.0,None,Moderate-term on-the-job training
"Rock splitters, quarry",47-5051,Individual Jobs,3.7,3.5,0.0,0.0,-0.2,-6.3,0.4,3.0,No formal educational credential,34020.0,None,Short-term on-the-job training
"Roof bolters, mining",47-5061,Individual Jobs,3.7,3.5,0.0,0.0,-0.2,-5.2,0.4,3.0,High school diploma or equivalent,56780.0,None,Moderate-term on-the-job training
"Roustabouts, oil and gas",47-5071,Individual Jobs,50.0,62.4,0.0,0.0,12.4,24.8,8.0,3.0,No formal educational credential,37340.0,None,Moderate-term on-the-job training
Helpers--extraction workers,47-5081,Individual Jobs,17.0,20.3,0.0,0.0,3.4,19.7,2.6,3.0,High school diploma or equivalent,35790.0,None,Moderate-term on-the-job training
"Extraction workers, all other",47-5099,Individual Jobs,4.2,4.8,0.0,0.0,0.7,15.9,0.6,3.0,High school diploma or equivalent,48750.0,None,Moderate-term on-the-job training
"Installation, maintenance, and repair occupations",49-0000,Job Categories,5905.4,6293.6,3.8,3.8,388.2,6.6,610.6,1.0,—,43440.0,—,—
"Supervisors of installation, maintenance, and repair workers",49-1000,Job Categories,462.2,495.0,0.3,0.3,32.8,7.1,43.4,2.0,—,63540.0,—,—
"First-line supervisors of mechanics, installers, and repairers",49-1011,Individual Jobs,462.2,495.0,0.3,0.3,32.8,7.1,43.4,3.0,High school diploma or equivalent,63540.0,Less than 5 years,None
"Electrical and electronic equipment mechanics, installers, and repairers",49-2000,Job Categories,628.1,621.3,0.4,0.4,-6.7,-1.1,60.8,2.0,—,48780.0,—,—
"Computer, automated teller, and office machine repairers",49-2011,Individual Jobs,119.5,117.7,0.1,0.1,-1.8,-1.5,11.2,3.0,"Some college, no degree",37100.0,None,Short-term on-the-job training
Radio and telecommunications equipment installers and repairers,49-2020,Job Categories,252.1,234.7,0.2,0.1,-17.4,-6.9,23.5,3.0,—,53540.0,—,—
"Radio, cellular, and tower equipment installers and repairs",49-2021,Individual Jobs,14.5,15.3,0.0,0.0,0.8,5.4,1.6,4.0,Associate's degree,52480.0,None,Moderate-term on-the-job training
"Telecommunications equipment installers and repairers, except line installers",49-2022,Individual Jobs,237.6,219.4,0.2,0.1,-18.2,-7.6,21.9,4.0,Postsecondary nondegree award,53640.0,None,Moderate-term on-the-job training
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,Job Categories,256.5,269.0,0.2,0.2,12.4,4.8,26.0,3.0,—,50420.0,—,—
Avionics technicians,49-2091,Individual Jobs,17.5,18.6,0.0,0.0,1.1,6.0,1.5,4.0,Associate's degree,60760.0,None,None
"Electric motor, power tool, and related repairers",49-2092,Individual Jobs,17.3,18.5,0.0,0.0,1.2,7.0,1.8,4.0,High school diploma or equivalent,41570.0,Less than 5 years,Moderate-term on-the-job training
"Electrical and electronics installers and repairers, transportation equipment",49-2093,Individual Jobs,13.9,14.3,0.0,0.0,0.4,2.9,1.3,4.0,Postsecondary nondegree award,59280.0,None,Long-term on-the-job training
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,Individual Jobs,68.3,69.9,0.0,0.0,1.6,2.4,6.1,4.0,Postsecondary nondegree award,56250.0,None,Long-term on-the-job training
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Individual Jobs,23.4,24.3,0.0,0.0,0.9,3.7,2.1,4.0,Postsecondary nondegree award,75670.0,Less than 5 years,Moderate-term on-the-job training
"Electronic equipment installers and repairers, motor vehicles",49-2096,Individual Jobs,12.1,9.0,0.0,0.0,-3.1,-25.6,0.7,4.0,High school diploma or equivalent,32220.0,None,Moderate-term on-the-job training
Electronic home entertainment equipment installers and repairers,49-2097,Individual Jobs,31.7,31.7,0.0,0.0,0.0,0.0,3.3,4.0,Postsecondary nondegree award,37410.0,None,Short-term on-the-job training
Security and fire alarm systems installers,49-2098,Individual Jobs,72.3,82.6,0.0,0.0,10.4,14.4,9.4,4.0,High school diploma or equivalent,44330.0,None,Moderate-term on-the-job training
"Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,Job Categories,1750.2,1866.2,1.1,1.1,116.0,6.6,180.4,2.0,—,40930.0,—,—
Aircraft mechanics and service technicians,49-3011,Individual Jobs,132.0,138.5,0.1,0.1,6.4,4.9,10.9,3.0,Postsecondary nondegree award,60170.0,None,None
Automotive technicians and repairers,49-3020,Job Categories,930.0,990.8,0.6,0.6,60.8,6.5,94.8,3.0,—,38860.0,—,—
Automotive body and related repairers,49-3021,Individual Jobs,160.4,174.1,0.1,0.1,13.6,8.5,17.1,4.0,High school diploma or equivalent,41540.0,None,Long-term on-the-job training
Automotive glass installers and repairers,49-3022,Individual Jobs,19.6,20.9,0.0,0.0,1.3,6.5,2.1,4.0,High school diploma or equivalent,34340.0,None,Moderate-term on-the-job training
