Job Title,code,type,2016 Employment,2026 Employment,2016 %,2026 %,Change (#),Change (%),Openings,Level,ed_needed,Median Wage,Experience,OTJ Training
Broadcast and sound engineering technicians and radio operators,27-4010,Job Categories,135.3,146.0,0.1,0.1,10.7,7.9,13.7,3.0,—,42590.0,—,—
Audio and video equipment technicians,27-4011,Individual Jobs,83.3,94.0,0.1,0.1,10.7,12.9,9.0,4.0,Postsecondary nondegree award,42230.0,None,Short-term on-the-job training
Broadcast technicians,27-4012,Individual Jobs,34.0,32.9,0.0,0.0,-1.1,-3.2,2.9,4.0,Associate's degree,38550.0,None,Short-term on-the-job training
Radio operators,27-4013,Individual Jobs,0.9,0.9,0.0,0.0,0.0,-1.0,0.1,4.0,High school diploma or equivalent,46250.0,None,Short-term on-the-job training
Sound engineering technicians,27-4014,Individual Jobs,17.0,18.1,0.0,0.0,1.1,6.3,1.7,4.0,Postsecondary nondegree award,53680.0,None,Short-term on-the-job training
Photographers,27-4021,Individual Jobs,147.3,139.0,0.1,0.1,-8.3,-5.6,10.3,3.0,High school diploma or equivalent,34070.0,None,Long-term on-the-job training
"Television, video, and motion picture camera operators and editors",27-4030,Job Categories,59.3,66.9,0.0,0.0,7.6,12.7,6.6,3.0,—,59040.0,—,—
"Camera operators, television, video, and motion picture",27-4031,Individual Jobs,25.1,26.9,0.0,0.0,1.8,7.0,2.6,4.0,Bachelor's degree,55080.0,None,None
Film and video editors,27-4032,Individual Jobs,34.2,40.0,0.0,0.0,5.8,17.0,4.0,4.0,Bachelor's degree,62760.0,None,None
"Media and communication equipment workers, all other",27-4099,Individual Jobs,20.6,22.2,0.0,0.0,1.6,7.9,2.1,3.0,High school diploma or equivalent,75700.0,None,Short-term on-the-job training
Healthcare practitioners and technical occupations,29-0000,Job Categories,8751.5,10088.1,5.6,6.0,1336.6,15.3,625.1,1.0,—,63420.0,—,—
Health diagnosing and treating practitioners,29-1000,Job Categories,5485.4,6380.0,3.5,3.8,894.6,16.3,355.8,2.0,—,77980.0,—,—
